numero,fecha,monto,estado
1,2025-07-30,-2036.49,OMITIDO_DUPLICADO
2,2025-07-30,3200.0,OMITIDO_DUPLICADO
3,2025-07-28,-10961.4,OMITIDO_DUPLICADO
4,2025-07-28,6350.0,OMITIDO_DUPLICADO
5,2025-07-28,-6908.66,OMITIDO_DUPLICADO
6,2025-07-28,258.0,OMITIDO_DUPLICADO
7,2025-07-28,-14002.8,OMITIDO_DUPLICADO
8,2025-07-25,-500.0,OMITIDO_DUPLICADO
9,2025-07-24,374.72,OMITIDO_DUPLICADO
10,2025-07-20,6094.0,OMITIDO_DUPLICADO
11,2025-07-20,270.0,OMITIDO_DUPLICADO
12,2025-07-21,-2040.4,OMITIDO_DUPLICADO
13,2025-07-21,-1100.0,OMITIDO_DUPLICADO
14,2025-07-18,-500.0,OMITIDO_DUPLICADO
15,2025-07-18,-293.82,OMITIDO_DUPLICADO
16,2025-07-18,399.0,OMITIDO_DUPLICADO
17,2025-07-18,8560.0,OMITIDO_DUPLICADO
18,2025-07-17,-628.6,OMITIDO_DUPLICADO
19,2025-07-17,400.0,OMITIDO_DUPLICADO
20,2025-07-16,-765.77,OMITIDO_DUPLICADO
21,2025-07-15,270.0,OMITIDO_DUPLICADO
22,2025-07-15,270.0,OMITIDO_DUPLICADO
23,2025-07-15,-435.0,OMITIDO_DUPLICADO
24,2025-07-15,5833.32,OMITIDO_DUPLICADO
25,2025-07-15,4000.0,OMITIDO_DUPLICADO
26,2025-07-15,-5835.0,OMITIDO_DUPLICADO
27,2025-07-14,-65.0,OMITIDO_DUPLICADO
28,2025-07-13,270.0,OMITIDO_DUPLICADO
29,2025-07-12,270.0,OMITIDO_DUPLICADO
30,2025-07-12,270.0,OMITIDO_DUPLICADO
31,2025-07-11,-8500.0,OMITIDO_DUPLICADO
32,2025-07-11,-500.0,OMITIDO_DUPLICADO
33,2025-07-10,-800.0,OMITIDO_DUPLICADO
34,2025-07-10,-500.0,OMITIDO_DUPLICADO
35,2025-07-10,270.0,OMITIDO_DUPLICADO
36,2025-07-10,270.0,OMITIDO_DUPLICADO
37,2025-07-10,270.0,OMITIDO_DUPLICADO
38,2025-07-09,19639.54,OMITIDO_DUPLICADO
39,2025-07-09,-0.8,OMITIDO_DUPLICADO
40,2025-07-09,-5.0,OMITIDO_DUPLICADO
41,2025-07-08,-41680.0,OMITIDO_DUPLICADO
42,2025-07-08,366.0,OMITIDO_DUPLICADO
